show_id,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,country_10,country_11,country_12
s1,United States,null,null,null,null,null,null,null,null,null,null,null
s2,South Africa,null,null,null,null,null,null,null,null,null,null,null
s3,null,null,null,null,null,null,null,null,null,null,null,null
s4,null,null,null,null,null,null,null,null,null,null,null,null
s5,India,null,null,null,null,null,null,null,null,null,null,null
s6,null,null,null,null,null,null,null,null,null,null,null,null
s7,null,null,null,null,null,null,null,null,null,null,null,null
s8,United States,Ghana,Burkina Faso,United Kingdom,Germany,Ethiopia,null,null,null,null,null,null
s9,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s10,United States,null,null,null,null,null,null,null,null,null,null,null
s11,null,null,null,null,null,null,null,null,null,null,null,null
s12,null,null,null,null,null,null,null,null,null,null,null,null
s13,Germany,Czech Republic,null,null,null,null,null,null,null,null,null,null
s14,null,null,null,null,null,null,null,null,null,null,null,null
s15,null,null,null,null,null,null,null,null,null,null,null,null
s16,United States,null,null,null,null,null,null,null,null,null,null,null
s17,null,null,null,null,null,null,null,null,null,null,null,null
s18,Mexico,null,null,null,null,null,null,null,null,null,null,null
s19,null,null,null,null,null,null,null,null,null,null,null,null
s20,null,null,null,null,null,null,null,null,null,null,null,null
s21,null,null,null,null,null,null,null,null,null,null,null,null
s22,Turkey,null,null,null,null,null,null,null,null,null,null,null
s23,null,null,null,null,null,null,null,null,null,null,null,null
s24,null,null,null,null,null,null,null,null,null,null,null,null
s25,India,null,null,null,null,null,null,null,null,null,null,null
s26,Australia,null,null,null,null,null,null,null,null,null,null,null
s27,null,null,null,null,null,null,null,null,null,null,null,null
s28,United States,null,null,null,null,null,null,null,null,null,null,null
s29,United States,null,null,null,null,null,null,null,null,null,null,null
s30,United States,India,France,null,null,null,null,null,null,null,null,null
s31,null,null,null,null,null,null,null,null,null,null,null,null
s32,null,null,null,null,null,null,null,null,null,null,null,null
s33,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s34,null,null,null,null,null,null,null,null,null,null,null,null
s35,null,null,null,null,null,null,null,null,null,null,null,null
s36,null,null,null,null,null,null,null,null,null,null,null,null
s37,null,null,null,null,null,null,null,null,null,null,null,null
s38,Finland,null,null,null,null,null,null,null,null,null,null,null
s39,China,Canada,United States,null,null,null,null,null,null,null,null,null
s40,India,null,null,null,null,null,null,null,null,null,null,null
s41,United States,null,null,null,null,null,null,null,null,null,null,null
s42,United States,null,null,null,null,null,null,null,null,null,null,null
s43,United States,null,null,null,null,null,null,null,null,null,null,null
s44,United States,null,null,null,null,null,null,null,null,null,null,null
s45,United States,null,null,null,null,null,null,null,null,null,null,null
s46,null,null,null,null,null,null,null,null,null,null,null,null
s47,South Africa,United States,Japan,null,null,null,null,null,null,null,null,null
s48,null,null,null,null,null,null,null,null,null,null,null,null
s49,United States,null,null,null,null,null,null,null,null,null,null,null
s50,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s51,India,null,null,null,null,null,null,null,null,null,null,null
s52,Japan,null,null,null,null,null,null,null,null,null,null,null
s53,Japan,null,null,null,null,null,null,null,null,null,null,null
s54,Japan,null,null,null,null,null,null,null,null,null,null,null
s55,Japan,null,null,null,null,null,null,null,null,null,null,null
s56,United States,null,null,null,null,null,null,null,null,null,null,null
s57,Japan,null,null,null,null,null,null,null,null,null,null,null
