show_id,director_1,director_2,director_3,director_4,director_5,director_6,director_7,director_8,director_9,director_10,director_11,director_12,director_13
s1,Kirsten Johnson,null,null,null,null,null,null,null,null,null,null,null,null
s2,null,null,null,null,null,null,null,null,null,null,null,null,null
s3,Julien Leclercq,null,null,null,null,null,null,null,null,null,null,null,null
s4,null,null,null,null,null,null,null,null,null,null,null,null,null
s5,null,null,null,null,null,null,null,null,null,null,null,null,null
s6,Mike Flanagan,null,null,null,null,null,null,null,null,null,null,null,null
s7,Robert Cullen,José Luis Ucha,null,null,null,null,null,null,null,null,null,null,null
s8,Haile Gerima,null,null,null,null,null,null,null,null,null,null,null,null
s9,Andy Devonshire,null,null,null,null,null,null,null,null,null,null,null,null
s10,Theodore Melfi,null,null,null,null,null,null,null,null,null,null,null,null
s11,null,null,null,null,null,null,null,null,null,null,null,null,null
s12,Kongkiat Komesiri,null,null,null,null,null,null,null,null,null,null,null,null
s13,Christian Schwochow,null,null,null,null,null,null,null,null,null,null,null,null
s14,Bruno Garotti,null,null,null,null,null,null,null,null,null,null,null,null
s15,null,null,null,null,null,null,null,null,null,null,null,null,null
s16,null,null,null,null,null,null,null,null,null,null,null,null,null
s17,Pedro de Echave García,Pablo Azorín Williams,null,null,null,null,null,null,null,null,null,null,null
s18,null,null,null,null,null,null,null,null,null,null,null,null,null
s19,Adam Salky,null,null,null,null,null,null,null,null,null,null,null,null
s20,null,null,null,null,null,null,null,null,null,null,null,null,null
s21,Olivier Megaton,null,null,null,null,null,null,null,null,null,null,null,null
s22,null,null,null,null,null,null,null,null,null,null,null,null,null
s23,K.S. Ravikumar,null,null,null,null,null,null,null,null,null,null,null,null
s24,Alex Woo,Stanley Moore,null,null,null,null,null,null,null,null,null,null,null
s25,S. Shankar,null,null,null,null,null,null,null,null,null,null,null,null
s26,null,null,null,null,null,null,null,null,null,null,null,null,null
s27,Rajiv Menon,null,null,null,null,null,null,null,null,null,null,null,null
s28,Dennis Dugan,null,null,null,null,null,null,null,null,null,null,null,null
s29,Scott Stewart,null,null,null,null,null,null,null,null,null,null,null,null
s30,Robert Luketic,null,null,null,null,null,null,null,null,null,null,null,null
s31,Ashwiny Iyer Tiwari,Abhishek Chaubey,Saket Chaudhary,null,null,null,null,null,null,null,null,null,null
s32,null,null,null,null,null,null,null,null,null,null,null,null,null
s33,null,null,null,null,null,null,null,null,null,null,null,null,null
s34,null,null,null,null,null,null,null,null,null,null,null,null,null
s35,null,null,null,null,null,null,null,null,null,null,null,null,null
s36,Daniel Sandu,null,null,null,null,null,null,null,null,null,null,null,null
s37,Cédric Jimenez,null,null,null,null,null,null,null,null,null,null,null,null
s38,null,null,null,null,null,null,null,null,null,null,null,null,null
s39,George Nolfi,null,null,null,null,null,null,null,null,null,null,null,null
s40,null,null,null,null,null,null,null,null,null,null,null,null,null
s41,null,null,null,null,null,null,null,null,null,null,null,null,null
s42,Steven Spielberg,null,null,null,null,null,null,null,null,null,null,null,null
s43,Jeannot Szwarc,null,null,null,null,null,null,null,null,null,null,null,null
s44,Joe Alves,null,null,null,null,null,null,null,null,null,null,null,null
s45,Joseph Sargent,null,null,null,null,null,null,null,null,null,null,null,null
s46,Tyler Greco,null,null,null,null,null,null,null,null,null,null,null,null
s47,Daniel Espinosa,null,null,null,null,null,null,null,null,null,null,null,null
s48,Bunmi Ajakaiye,null,null,null,null,null,null,null,null,null,null,null,null
s49,Antoine Fuqua,null,null,null,null,null,null,null,null,null,null,null,null
s50,null,null,null,null,null,null,null,null,null,null,null,null,null
s51,null,null,null,null,null,null,null,null,null,null,null,null,null
s52,Toshiya Shinohara,null,null,null,null,null,null,null,null,null,null,null,null
s53,Toshiya Shinohara,null,null,null,null,null,null,null,null,null,null,null,null
s54,Toshiya Shinohara,null,null,null,null,null,null,null,null,null,null,null,null
s55,Toshiya Shinohara,null,null,null,null,null,null,null,null,null,null,null,null
s56,null,null,null,null,null,null,null,null,null,null,null,null,null
s57,Masahiko Murata,null,null,null,null,null,null,null,null,null,null,null,null
s58,Hajime Kamegaki,null,null,null,null,null,null,null,null,null,null,null,null
s59,Masahiko Murata,null,null,null,null,null,null,null,null,null,null,null,null
s60,Hajime Kamegaki,null,null,null,null,null,null,null,null,null,null,null,null
s61,Masahiko Murata,null,null,null,null,null,null,null,null,null,null,null,null
s62,Hirotsugu Kawasaki,null,null,null,null,null,null,null,null,null,null,null,null
s63,Toshiyuki Tsuru,null,null,null,null,null,null,null,null,null,null,null,null
s64,Tensai Okamura,null,null,null,null,null,null,null,null,null,null,null,null
s65,David Yarovesky,null,null,null,null,null,null,null,null,null,null,null,null
s66,null,null,null,null,null,null,null,null,null,null,null,null,null
s67,null,null,null,null,null,null,null,null,null,null,null,null,null
